post_id,server_title,slug,status,url,preporucena_odluka,best_source_candidate,best_score,urednicka_napomena,sljedeci_korak
3016,Zagorska tlačenica,hr-sl-091,private,https://drycured.com/?post_type=dry_recipe&p=3016,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Goriške pečenice,0.647,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3017,Gospićka suha plećka,hr-sl-109,private,https://drycured.com/?post_type=dry_recipe&p=3017,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Primorska šunka,0.514,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3018,Banovinska tlačenica,hr-sl-115,private,https://drycured.com/?post_type=dry_recipe&p=3018,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Baranjska kobasica,0.579,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3109,Bjelopavlićka bumbar-pita,bjelopavlicka-bumbar-pita,private,https://drycured.com/?post_type=dry_recipe&p=3109,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Lovačka pašteta,0.500,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3156,Lički Planinarski Navršak,licki-planinarski-navrsak,publish,https://drycured.com/recepti-baza/licki-planinarski-navrsak/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Domaće slaninske kobasice,0.400,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3177,Đakovački Specijalni Fermentirani Vrat,akovacki-specijalni-fermentirani-vrat,private,https://drycured.com/?post_type=dry_recipe&p=3177,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Đakovački kulen,0.491,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3200,"Podravski ""Zaboravljeni Vrbovec""",podravski-zaboravljeni-vrbovec,publish,https://drycured.com/recepti-baza/podravski-zaboravljeni-vrbovec/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Podravske kobasice,0.417,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3308,Istarska kobasica,hr-is-001-istarska-kobasica,publish,https://drycured.com/recepti-baza/hr-is-001-istarska-kobasica/,POTENCIJALNO_POSTOJI_U_IZVORU_POD_DRUGIM_NAZIVOM,Istarske kobasice,0.882,Visoka sličnost naziva; ručno provjeriti prije označavanja kao novi ili nepokriven recept.,za public verified otvoriti pojedinačni dosje
3309,Rovinjska kobasica,hr-is-002-rovinjska-kobasica,publish,https://drycured.com/recepti-baza/hr-is-002-rovinjska-kobasica/,POTENCIJALNO_POSTOJI_U_IZVORU_POD_DRUGIM_NAZIVOM,Baranjska kobasica,0.833,Visoka sličnost naziva; ručno provjeriti prije označavanja kao novi ili nepokriven recept.,za public verified otvoriti pojedinačni dosje
3310,Pazinska kobasica,hr-is-003-pazinska-kobasica,publish,https://drycured.com/recepti-baza/hr-is-003-pazinska-kobasica/,POTENCIJALNO_POSTOJI_U_IZVORU_POD_DRUGIM_NAZIVOM,Baranjska kobasica,0.800,Visoka sličnost naziva; ručno provjeriti prije označavanja kao novi ili nepokriven recept.,za public verified otvoriti pojedinačni dosje
3311,Lička kobasica,hr-li-001-licka-kobasica,publish,https://drycured.com/recepti-baza/hr-li-001-licka-kobasica/,POTENCIJALNO_POSTOJI_U_IZVORU_POD_DRUGIM_NAZIVOM,Ličke kobasice,0.857,Visoka sličnost naziva; ručno provjeriti prije označavanja kao novi ili nepokriven recept.,za public verified otvoriti pojedinačni dosje
3312,Sinjska kobasica,hr-da-001-sinjska-kobasica,publish,https://drycured.com/recepti-baza/hr-da-001-sinjska-kobasica/,POTENCIJALNO_POSTOJI_U_IZVORU_POD_DRUGIM_NAZIVOM,Sinjske kobasice,0.875,Visoka sličnost naziva; ručno provjeriti prije označavanja kao novi ili nepokriven recept.,za public verified otvoriti pojedinačni dosje
3313,Korčulanska kobasica,hr-da-002-korculanska-kobasica,publish,https://drycured.com/recepti-baza/hr-da-002-korculanska-kobasica/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Baranjska kobasica,0.789,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3314,Hvarska prstena kobasica,hr-da-003-hvarska-prstena-kobasica,publish,https://drycured.com/recepti-baza/hr-da-003-hvarska-prstena-kobasica/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Baranjska kobasica,0.667,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3315,Vrgorački kulen,hr-da-004-vrgoracki-kulen,publish,https://drycured.com/recepti-baza/hr-da-004-vrgoracki-kulen/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Đakovački kulen,0.733,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3524,PREVIEW CANON — Slavonska kobasica,preview-canon-preview-canon-slavonska-kobasica-src-2976,private,https://drycured.com/?post_type=dry_recipe&p=3524,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Slavonske kobasice,0.640,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3532,PREVIEW GRANULACIJA — Kulenova seka,preview-granulation-kulenova-seka-src-2973,private,https://drycured.com/?post_type=dry_recipe&p=3532,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Kulinova seka,0.522,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
