ID,post_title,post_name,post_status,post_type,permalink,modified_gmt,is_preview_clone,preview_source_post_id,recipe_id,has_full_markdown,has_sections,has_verified_process,has_image_url,full_markdown_len,sections_len,verified_process_len,image_url_len
2379,"BOULETTE DE LIÈGE (LIEŠKA MESNA KOBASICA)",boulette-de-liege-lieska-mesna-kobasica,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2379,"2026-05-30 08:21:28",no,,BEL-BOULETTE-DE-LIEGE-LIESKA,no,no,no,no,0,0,0,0
2380,"SAUCISSON D'ARDENNE (ARDENSKI KULEN)",saucisson-dardenne-ardenski-kulen-2,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2380,"2026-05-30 08:21:28",no,,BEL-SAUCISSON-DARDENNE-ARDENSKI-KU,no,no,no,no,0,0,0,0
2381,"Nadenitsa (Наденица)",nadenitsa-%d0%bd%d0%b0%d0%b4%d0%b5%d0%bd%d0%b8%d1%86%d0%b0,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2381,"2026-05-30 08:21:29",no,,BUG-NADENITSA,no,no,no,no,0,0,0,0
2382,"Rulopep (Рулопеп)",rulopep-%d1%80%d1%83%d0%bb%d0%be%d0%bf%d0%b5%d0%bf,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2382,"2026-05-30 08:21:29",no,,BUG-RULOPEP,no,no,no,no,0,0,0,0
2383,"Banska Kapama (Банска капама)",banska-kapama-%d0%b1%d0%b0%d0%bd%d1%81%d0%ba%d0%b0-%d0%ba%d0%b0%d0%bf%d0%b0%d0%bc%d0%b0,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2383,"2026-05-30 08:21:29",no,,BUG-BANSKA-KAPAMA,no,no,no,no,0,0,0,0
2384,"Katino Meze (Катино мезе)",katino-meze-%d0%ba%d0%b0%d1%82%d0%b8%d0%bd%d0%be-%d0%bc%d0%b5%d0%b7%d0%b5,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2384,"2026-05-30 08:21:29",no,,BUG-KATINO-MEZE,no,no,no,no,0,0,0,0
2385,"Drobsarma (Дробсарма)",drobsarma-%d0%b4%d1%80%d0%be%d0%b1%d1%81%d0%b0%d1%80%d0%bc%d0%b0,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2385,"2026-05-30 08:21:29",no,,BUG-DROBSARMA,no,no,no,no,0,0,0,0
2386,"Maleshevska Babichka (Малешевска бабичка)",maleshevska-babichka-%d0%bc%d0%b0%d0%bb%d0%b5%d1%88%d0%b5%d0%b2%d1%81%d0%ba%d0%b0-%d0%b1%d0%b0%d0%b1%d0%b8%d1%87%d0%ba%d0%b0,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2386,"2026-05-30 08:21:29",no,,BUG-MALESHEVSKA-BABICHKA,no,no,no,no,0,0,0,0
2387,"Kraishte Pastarma (Краищенска пастърма)",kraishte-pastarma-%d0%ba%d1%80%d0%b0%d0%b8%d1%89%d0%b5%d0%bd%d1%81%d0%ba%d0%b0-%d0%bf%d0%b0%d1%81%d1%82%d1%8a%d1%80%d0%bc%d0%b0,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2387,"2026-05-30 08:21:29",no,,BUG-KRAISHTE-PASTARMA,no,no,no,no,0,0,0,0
2388,"Strandzhansko Dyado (Странджанско дядо)",strandzhansko-dyado-%d1%81%d1%82%d1%80%d0%b0%d0%bd%d0%b4%d0%b6%d0%b0%d0%bd%d1%81%d0%ba%d0%be-%d0%b4%d1%8f%d0%b4%d0%be,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2388,"2026-05-30 08:21:29",no,,BUG-STRANDZHANSKO-DYADO,no,no,no,no,0,0,0,0
2389,"Srednogorska Kaska (Средногорска каска)",srednogorska-kaska-%d1%81%d1%80%d0%b5%d0%b4%d0%bd%d0%be%d0%b3%d0%be%d1%80%d1%81%d0%ba%d0%b0-%d0%ba%d0%b0%d1%81%d0%ba%d0%b0,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2389,"2026-05-30 08:21:29",no,,BUG-SREDNOGORSKA-KASKA,no,no,no,no,0,0,0,0
2390,"Dobrudzhanski Babek (Добруджански бабек)",dobrudzhanski-babek-%d0%b4%d0%be%d0%b1%d1%80%d1%83%d0%b4%d0%b6%d0%b0%d0%bd%d1%81%d0%ba%d0%b8-%d0%b1%d0%b0%d0%b1%d0%b5%d0%ba,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2390,"2026-05-30 08:21:29",no,,BUG-DOBRUDZHANSKI-BABEK,no,no,no,no,0,0,0,0
2391,"Lukanka (Луканка)",lukanka-%d0%bb%d1%83%d0%ba%d0%b0%d0%bd%d0%ba%d0%b0,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2391,"2026-05-30 08:21:29",no,,BUG-LUKANKA,no,no,no,no,0,0,0,0
2392,"Sudjuk (Суджук)",sudjuk-%d1%81%d1%83%d0%b4%d0%b6%d1%83%d0%ba,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2392,"2026-05-30 08:21:29",no,,BUG-SUDJUK,no,no,no,no,0,0,0,0
2393,"Elena filet (Еленски филе)",elena-filet-%d0%b5%d0%bb%d0%b5%d0%bd%d1%81%d0%ba%d0%b8-%d1%84%d0%b8%d0%bb%d0%b5,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2393,"2026-05-30 08:21:29",no,,BUG-ELENA-FILET,no,no,no,no,0,0,0,0
2394,"Pastarma (Пастърма)",pastarma-%d0%bf%d0%b0%d1%81%d1%82%d1%8a%d1%80%d0%bc%d0%b0,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2394,"2026-05-30 08:21:29",no,,BUG-PASTARMA,no,no,no,no,0,0,0,0
2395,"Banski Starec (Бански старец)",banski-starec-%d0%b1%d0%b0%d0%bd%d1%81%d0%ba%d0%b8-%d1%81%d1%82%d0%b0%d1%80%d0%b5%d1%86,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2395,"2026-05-30 08:21:29",no,,BUG-BANSKI-STAREC,no,no,no,no,0,0,0,0
2396,"Sastojci (za 5 kg kobasica)",sastojci-za-5-kg-kobasica,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2396,"2026-05-30 08:21:29",no,,NEP-SASTOJCI-ZA-5-KG,no,no,no,no,0,0,0,0
2397,"Savjeti za posluživanje",,pending,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2397,"0000-00-00 00:00:00",no,,NEP-SAVJETI-ZA-POSLUZIVANJE,no,no,no,no,0,0,0,0
2398,"Traditionele Droge Worst (Klasična suha kobasica)",traditionele-droge-worst-klasicna-suha-kobasica,publish,dry_recipe,https://drycured.com/recepti-baza/traditionele-droge-worst-klasicna-suha-kobasica/,"2026-06-04 07:53:26",no,,MD-TRADITIONELE_DROGE_WORST_KLASICNA_SUHA_KOBASICA,yes,no,no,no,4004,0,0,0
2399,"Rookworst (Dimljena kobasica)",rookworst-dimljena-kobasica,publish,dry_recipe,https://drycured.com/recepti-baza/rookworst-dimljena-kobasica/,"2026-06-04 07:53:28",no,,MD-ROOKWORST_DIMLJENA_KOBASICA,yes,no,no,no,3958,0,0,0
2400,"?? GRČKI RECEPTI",,pending,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2400,"0000-00-00 00:00:00",no,,NEP-GRCKI-RECEPTI,no,no,no,no,0,0,0,0
2401,"?? ALBANSKI RECEPTI",,pending,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2401,"0000-00-00 00:00:00",no,,NEP-ALBANSKI-RECEPTI,no,no,no,no,0,0,0,0
2402,"Lountza (Λούντζα)",lountza-%ce%bb%ce%bf%cf%8d%ce%bd%cf%84%ce%b6%ce%b1,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2402,"2026-05-30 08:21:30",no,,CIP-LOUNTZA,no,no,no,no,0,0,0,0
2403,"Hiromeri (Χοιρομέρι)",hiromeri-%cf%87%ce%bf%ce%b9%cf%81%ce%bf%ce%bc%ce%ad%cf%81%ce%b9,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2403,"2026-05-30 08:21:30",no,,CIP-HIROMERI,no,no,no,no,0,0,0,0
2404,"Tsamarella (Τσαμαρέλλα)",,pending,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2404,"0000-00-00 00:00:00",no,,CIP-TSAMARELLA,no,no,no,no,0,0,0,0
2405,"Posyrti (Ποσυρτή)",,pending,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2405,"0000-00-00 00:00:00",no,,CIP-POSYRTI,no,no,no,no,0,0,0,0
2406,"Apohtin (Αποχτίν)",,pending,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2406,"0000-00-00 00:00:00",no,,CIP-APOHTIN,no,no,no,no,0,0,0,0
2407,"Lounza (Λούντζα) - Dimljena svinjska potrbušina",lounza-%ce%bb%ce%bf%cf%8d%ce%bd%cf%84%ce%b6%ce%b1-dimljena-svinjska-potrbusina,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2407,"2026-05-30 08:21:30",no,,CIP-LOUNZA-DIMLJENA-SVINJSKA-POTRB,no,no,no,no,0,0,0,0
2408,"Tsamarella (Τσαμαρέλλα) - Sušena kozletina",tsamarella-%cf%84%cf%83%ce%b1%ce%bc%ce%b1%cf%81%ce%ad%ce%bb%ce%bb%ce%b1-susena-kozletina,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2408,"2026-05-30 08:21:30",no,,CIP-TSAMARELLA-SUSENA-KOZLETINA,no,no,no,no,0,0,0,0
2409,"Hiromeri (Χοιρομέρι) - Ciparski pršut",hiromeri-%cf%87%ce%bf%ce%b9%cf%81%ce%bf%ce%bc%ce%ad%cf%81%ce%b9-ciparski-prsut,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2409,"2026-05-30 08:21:30",no,,CIP-HIROMERI-CIPARSKI-PRSUT,no,no,no,no,0,0,0,0
2410,"Apohti (Απόχτι) - Dimljeni svinjski file",apohti-%ce%b1%cf%80%cf%8c%cf%87%cf%84%ce%b9-dimljeni-svinjski-file,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2410,"2026-05-30 08:21:30",no,,CIP-APOHTI-DIMLJENI-SVINJSKI-FILE,no,no,no,no,0,0,0,0
2411,"Pastourma (Παστουρμάς) - Ciparski začinjeni sušeni goveđi file",pastourma-%cf%80%ce%b1%cf%83%cf%84%ce%bf%cf%85%cf%81%ce%bc%ce%ac%cf%82-ciparski-zacinjeni-suseni-govedi-file,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2411,"2026-05-30 08:21:30",no,,CIP-PASTOURMA-CIPARSKI-ZACINJENI-S,no,no,no,no,0,0,0,0
2412,"?? GRČKA - Tradicionalni recepti za Loukaniko",%f0%9f%87%ac%f0%9f%87%b7-grcka-tradicionalni-recepti-za-loukaniko,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2412,"2026-06-03 05:07:39",no,,NEP-GRCKA-TRADICIONALNI-RECEPTI-ZA,no,no,no,no,0,0,0,0
2413,"?? ALBANIJA - Tradicionalni recepti za Salçe",%f0%9f%87%a6%f0%9f%87%b1-albanija-tradicionalni-recepti-za-salce,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2413,"2026-06-03 05:07:48",no,,NEP-ALBANIJA-TRADICIONALNI-RECEPTI,no,no,no,no,0,0,0,0
2414,"?? FRANCUSKA - Tradicionalni recepti za saucisson",%f0%9f%87%ab%f0%9f%87%b7-francuska-tradicionalni-recepti-za-saucisson,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2414,"2026-06-03 05:07:58",no,,NEP-FRANCUSKA-TRADICIONALNI-RECEPT,no,no,no,no,0,0,0,0
2415,"?? NJEMAČKA - Tradicionalni recepti za Wurst",%f0%9f%87%a9%f0%9f%87%aa-njemacka-tradicionalni-recepti-za-wurst,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2415,"2026-06-03 05:08:15",no,,NEP-NJEMACKA-TRADICIONALNI-RECEPTI,no,no,no,no,0,0,0,0
2416,"?? ITALIJA - Tradicionalni recepti za salame",%f0%9f%87%ae%f0%9f%87%b9-italija-tradicionalni-recepti-za-salame,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2416,"2026-06-03 05:08:31",no,,NEP-ITALIJA-TRADICIONALNI-RECEPTI-,no,no,no,no,0,0,0,0
2417,"?? PORTUGAL - Tradicionalni recepti za Linguiça",%f0%9f%87%b5%f0%9f%87%b9-portugal-tradicionalni-recepti-za-linguica,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2417,"2026-06-03 05:08:45",no,,NEP-PORTUGAL-TRADICIONALNI-RECEPTI,no,no,no,no,0,0,0,0
2418,"?? FRANCUSKA - Tradicijski recepti za saucisson (30 recepata)",%f0%9f%87%ab%f0%9f%87%b7-francuska-tradicijski-recepti-za-saucisson-30-recepata,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2418,"2026-05-30 08:21:30",no,,NEP-FRANCUSKA-TRADICIJSKI-RECEPTI-,no,no,no,no,0,0,0,0
2419,"?? ČEŠKA - Tradicionalni recepti",%f0%9f%87%a8%f0%9f%87%bf-ceska-tradicionalni-recepti,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2419,"2026-05-30 08:21:30",no,,NEP-CESKA-TRADICIONALNI-RECEPTI,no,no,no,no,0,0,0,0
2420,"?? SLOVAČKA - Tradicionalni recepti",%f0%9f%87%b8%f0%9f%87%b0-slovacka-tradicionalni-recepti,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2420,"2026-05-30 08:21:30",no,,NEP-SLOVACKA-TRADICIONALNI-RECEPTI,no,no,no,no,0,0,0,0
2421,"?? POLJSKA - Tradicionalni recepti",%f0%9f%87%b5%f0%9f%87%b1-poljska-tradicionalni-recepti,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2421,"2026-05-30 08:21:30",no,,NEP-POLJSKA-TRADICIONALNI-RECEPTI,no,no,no,no,0,0,0,0
2422,"?? UKRAJINA - Tradicionalni recepti",%f0%9f%87%ba%f0%9f%87%a6-ukrajina-tradicionalni-recepti,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2422,"2026-05-30 08:21:30",no,,NEP-UKRAJINA-TRADICIONALNI-RECEPTI,no,no,no,no,0,0,0,0
2423,"?? ŠVEDSKA - Tradicionalni recepti",%f0%9f%87%b8%f0%9f%87%aa-svedska-tradicionalni-recepti,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2423,"2026-05-30 08:21:30",no,,NEP-SVEDSKA-TRADICIONALNI-RECEPTI,no,no,no,no,0,0,0,0
2424,"?? LATVIJA - Tradicionalni recepti",%f0%9f%87%b1%f0%9f%87%bb-latvija-tradicionalni-recepti,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2424,"2026-05-30 08:21:30",no,,NEP-LATVIJA-TRADICIONALNI-RECEPTI,no,no,no,no,0,0,0,0
2425,"?? NIZOZEMSKA - Tradicionalni recepti",%f0%9f%87%b3%f0%9f%87%b1-nizozemska-tradicionalni-recepti,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2425,"2026-05-30 08:21:30",no,,NEP-NIZOZEMSKA-TRADICIONALNI-RECEP,no,no,no,no,0,0,0,0
2426,"?? BELGIJA - Tradicionalni recepti",%f0%9f%87%a7%f0%9f%87%aa-belgija-tradicionalni-recepti,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2426,"2026-05-30 08:21:31",no,,NEP-BELGIJA-TRADICIONALNI-RECEPTI,no,no,no,no,0,0,0,0
2427,"?? LUKSEMBURG - Tradicionalni recepti",%f0%9f%87%b1%f0%9f%87%ba-luksemburg-tradicionalni-recepti,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2427,"2026-05-30 08:21:31",no,,NEP-LUKSEMBURG-TRADICIONALNI-RECEP,no,no,no,no,0,0,0,0
2428,"Durmitorska kastradina",durmitorska-kastradina,publish,dry_recipe,https://drycured.com/recepti-baza/durmitorska-kastradina/,"2026-06-04 07:53:26",no,,MD-DURMITORSKA_KASTRADINA,yes,no,no,no,3504,0,0,0
2429,"Crmničke goveđe pastrve",crmnicke-govede-pastrve,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2429,"2026-05-30 08:21:31",no,,CRN-CRMNICKE-GOVEE-PASTRVE,no,no,no,no,0,0,0,0
2430,"Vasojevićka preukuša",vasojevicka-preukusa,publish,dry_recipe,https://drycured.com/recepti-baza/vasojevicka-preukusa/,"2026-06-04 07:53:26",no,,MD-VASOJEVICKA_PREUKUSA,yes,no,no,no,4092,0,0,0
2431,"Bjelopavlićka bumbar-pita",,pending,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2431,"0000-00-00 00:00:00",no,,CRN-BJELOPAVLICKA-BUMBARPITA,no,no,no,no,0,0,0,0
2432,"Kučka pršura",kucka-prsura,publish,dry_recipe,https://drycured.com/recepti-baza/kucka-prsura/,"2026-06-04 07:53:26",no,,MD-KUCKA_PRSURA,yes,no,no,no,3730,0,0,0
2433,"Crnogorska pečenica",crnogorska-pecenica,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2433,"2026-06-04 07:30:16",no,,MD-CRNOGORSKA_PECENICA,yes,no,no,no,3605,0,0,0
2434,"Crnogorska kobasica",crnogorska-kobasica,publish,dry_recipe,https://drycured.com/recepti-baza/crnogorska-kobasica/,"2026-06-04 07:53:26",no,,MD-CRNOGORSKA_KOBASICA,yes,no,no,no,3959,0,0,0
2435,"Crnogorska stelja",crnogorska-stelja,publish,dry_recipe,https://drycured.com/recepti-baza/crnogorska-stelja/,"2026-06-04 07:53:26",no,,MD-CRNOGORSKA_STELJA,yes,no,no,no,3453,0,0,0
2436,"Crnogorski suđuk",crnogorski-suduk,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2436,"2026-05-30 08:21:31",no,,CRN-CRNOGORSKI-SUUK,no,no,no,no,0,0,0,0
2437,"Drniški Začinjeni Vrat s Planine (Specifični mountainski naresak)",drniski-zacinjeni-vrat-s-planine-specificni-mountainski-naresak,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2437,"2026-06-04 07:30:25",no,,MD-DRNISKI_ZACINJENI_VRAT_S_PLANINE_SPECIFICNI_MOUNTAINSKI_NARESAK,yes,no,no,no,3523,0,0,0
2438,"Komiški Brudet Narezak",komiski-brudet-narezak,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2438,"2026-06-04 07:30:28",no,,MD-KOMISKI_BRUDET_NAREZAK,yes,no,no,no,3503,0,0,0
2439,"Šibenski Vjetrenjak",sibenski-vjetrenjak,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2439,"2026-06-04 07:30:31",no,,MD-SIBENSKI_VJETRENJAK,yes,no,no,no,3338,0,0,0
2440,"Splitski Maestral Narezak",splitski-maestral-narezak,publish,dry_recipe,https://drycured.com/recepti-baza/splitski-maestral-narezak/,"2026-06-04 07:53:26",no,,MD-SPLITSKI_MAESTRAL_NAREZAK,yes,no,no,no,3485,0,0,0
2441,"Trogirski Zephyr",trogirski-zephyr,publish,dry_recipe,https://drycured.com/recepti-baza/trogirski-zephyr/,"2026-06-04 07:53:26",no,,MD-TROGIRSKI_ZEPHYR,yes,no,no,no,3442,0,0,0
2442,"Makarski Jugo Narezak",makarski-jugo-narezak,publish,dry_recipe,https://drycured.com/recepti-baza/makarski-jugo-narezak/,"2026-06-04 07:53:26",no,,MD-MAKARSKI_JUGO_NAREZAK,yes,no,no,no,3474,0,0,0
2443,"Pagaški sir (rijetka regionalna varijanta)",,pending,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2443,"0000-00-00 00:00:00",no,,HRV-PAGASKI-SIR-RIJETKA-REGIONALNA,no,no,no,no,0,0,0,0
2444,"Drniški pršut iz zaleđa (rijetka varijanta)",drniski-prsut-iz-zaleda-rijetka-varijanta,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2444,"2026-05-30 08:21:31",no,,HRV-DRNISKI-PRSUT-IZ-ZALEA,no,no,no,no,0,0,0,0
2445,"Hvarski stolen (zaboravljena delicija)",hvarski-stolen-zaboravljena-delicija,publish,dry_recipe,https://drycured.com/recepti-baza/hvarski-stolen-zaboravljena-delicija/,"2026-06-04 07:53:26",no,,MD-HVARSKI_STOLEN_ZABORAVLJENA_DELICIJA,yes,no,no,no,3461,0,0,0
2446,"Šoltanski sir iz duboke tradicije",,pending,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2446,"0000-00-00 00:00:00",no,,HRV-SOLTANSKI-SIR-IZ-DUBOKE,no,no,no,no,0,0,0,0
2447,"Leverpostej (Danska pašteta od svinjske jetre)",leverpostej-danska-pasteta-od-svinjske-jetre,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2447,"2026-06-04 07:30:49",no,,MD-LEVERPOSTEJ_DANSKA_PASTETA_OD_SVINJSKE_JETRE,yes,no,no,no,3706,0,0,0
2448,"Medisterpølse (Danska svježa začinjena kobasica)",medisterpolse-danska-svjeza-zacinjena-kobasica,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2448,"2026-05-30 08:21:31",no,,DAN-MEDISTERPLSE-DANSKA-SVJEZA-ZAC,no,no,no,no,0,0,0,0
2449,"Ribbenssteg (Danska dimljena svinjska rebra)",ribbenssteg-danska-dimljena-svinjska-rebra,publish,dry_recipe,https://drycured.com/recepti-baza/ribbenssteg-danska-dimljena-svinjska-rebra/,"2026-06-04 07:53:26",no,,MD-RIBBENSSTEG_DANSKA_DIMLJENA_SVINJSKA_REBRA,yes,no,no,no,3735,0,0,0
2450,"Bayonneskinke (Danska zasoljena i dimljena šunka)",bayonneskinke-danska-zasoljena-i-dimljena-sunka,publish,dry_recipe,https://drycured.com/recepti-baza/bayonneskinke-danska-zasoljena-i-dimljena-sunka/,"2026-06-04 07:53:26",no,,MD-BAYONNESKINKE_DANSKA_ZASOLJENA_I_DIMLJENA_SUNKA,yes,no,no,no,3729,0,0,0
2451,"Blodpølse (Danska krvavica)",blodpolse-danska-krvavica,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2451,"2026-05-30 08:21:31",no,,DAN-BLODPLSE-DANSKA-KRVAVICA,no,no,no,no,0,0,0,0
2452,"Rullepølse (Danska rolana šunka)",rullepolse-danska-rolana-sunka,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2452,"2026-05-30 08:21:31",no,,DAN-RULLEPLSE-DANSKA-ROLANA-SUNKA,no,no,no,no,0,0,0,0
2453,"Flæskesteg (Danska pečena svinjetina s hrskavom kožom)",flaeskesteg-danska-pecena-svinjetina-s-hrskavom-kozom,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2453,"2026-05-30 08:21:31",no,,DAN-FLSKESTEG-DANSKA-PECENA-SVINJE,no,no,no,no,0,0,0,0
2454,"Spegepølse (Danska fermentirana kobasica)",spegepolse-danska-fermentirana-kobasica,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2454,"2026-05-30 08:21:31",no,,DAN-SPEGEPLSE-DANSKA-FERMENTIRANA-,no,no,no,no,0,0,0,0
2455,"Sylte (Danska hladetina od svinjske glave)",sylte-danska-hladetina-od-svinjske-glave,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2455,"2026-06-04 07:30:58",no,,MD-SYLTE_DANSKA_HLADETINA_OD_SVINJSKE_GLAVE,yes,no,no,no,3549,0,0,0
2456,"Spegeskinke (Danska sušena šunka)",spegeskinke-danska-susena-sunka,publish,dry_recipe,https://drycured.com/recepti-baza/spegeskinke-danska-susena-sunka/,"2026-06-04 07:53:26",no,,MD-SPEGESKINKE_DANSKA_SUSENA_SUNKA,yes,no,no,no,3551,0,0,0
2457,"Irski spiced beef (Začinjeno sušeno goveđe meso)",irski-spiced-beef-zacinjeno-suseno-govede-meso,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2457,"2026-05-30 08:21:31",no,,IRS-IRSKI-SPICED-BEEF-ZACINJENO,no,no,no,no,0,0,0,0
2458,"Crubeens (Salamurena i dimljena svinjska stopala)",crubeens-salamurena-i-dimljena-svinjska-stopala,publish,dry_recipe,https://drycured.com/recepti-baza/crubeens-salamurena-i-dimljena-svinjska-stopala/,"2026-06-04 07:53:26",no,,MD-CRUBEENS_SALAMURENA_I_DIMLJENA_SVINJSKA_STOPALA,yes,no,no,no,4131,0,0,0
2459,"Boiled Ham (Tradicionalna irska kuhana šunka)",boiled-ham-tradicionalna-irska-kuhana-sunka,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2459,"2026-06-04 07:31:07",no,,MD-BOILED_HAM_TRADICIONALNA_IRSKA_KUHANA_SUNKA,yes,no,no,no,3506,0,0,0
2460,"Westfälischer Schinken s krumpirom u ljusci i hrenom",,pending,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2460,"0000-00-00 00:00:00",no,,NJE-WESTFALISCHER-SCHINKEN-S-KRUMP,no,no,no,no,0,0,0,0
2461,"Kasseler pečenka s pireom od jabuka i krupir knedlama",,pending,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2461,"0000-00-00 00:00:00",no,,NJE-KASSELER-PECENKA-S-PIREOM,no,no,no,no,0,0,0,0
2462,"Leberkäse s prženim jajima i bavarskim röstijem",,pending,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2462,"0000-00-00 00:00:00",no,,NJE-LEBERKASE-S-PRZENIM-JAJIMA,no,no,no,no,0,0,0,0
2463,"Rogatički Planinsko-Morski Raritet ""Vjetar i More""",,pending,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2463,"0000-00-00 00:00:00",no,,HRV-ROGATICKI-PLANINSKOMORSKI-RARI,no,no,no,no,0,0,0,0
2464,"StarohrvatskiMore-Kopno Salamet (Salama Maritima)",starohrvatskimore-kopno-salamet-salama-maritima,publish,dry_recipe,https://drycured.com/recepti-baza/starohrvatskimore-kopno-salamet-salama-maritima/,"2026-06-04 07:53:26",no,,MD-STAROHRVATSKIMORE_KOPNO_SALAMET_SALAMA_MARITIMA,yes,no,no,no,4075,0,0,0
2465,"Krčki Ovčji Dimljeni Raritet",krcki-ovcji-dimljeni-raritet,publish,dry_recipe,https://drycured.com/recepti-baza/krcki-ovcji-dimljeni-raritet/,"2026-06-04 07:53:26",no,,MD-KRCKI_OVCJI_DIMLJENI_RARITET,yes,no,no,no,3483,0,0,0
2466,"Kvarnerski Divovski Salamet",kvarnerski-divovski-salamet,publish,dry_recipe,https://drycured.com/recepti-baza/kvarnerski-divovski-salamet/,"2026-06-04 07:53:26",no,,MD-KVARNERSKI_DIVOVSKI_SALAMET,yes,no,no,no,3900,0,0,0
2467,"Istarski Morski Pršut ""Neptunov Dar""",,pending,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2467,"0000-00-00 00:00:00",no,,HRV-ISTARSKI-MORSKI-PRSUT-NEPTUNOV,no,no,no,no,0,0,0,0
2468,"Lincolnshire kobasica",lincolnshire-kobasica,publish,dry_recipe,https://drycured.com/recepti-baza/lincolnshire-kobasica/,"2026-06-04 07:53:26",no,,MD-LINCOLNSHIRE_KOBASICA,yes,no,no,no,4313,0,0,0
